 ,Stitch's Great Escape!,"Monsters, Inc. Laugh Floor",Walt Disney's Enchanted Tiki Room,The Barnstormer,Under the Sea - Journey of The Little Mermaid,Seven Dwarfs Mine Train ,Astro Orbiter,Big Thunder Mountain Railroad,Buzz Lightyear's Space Ranger Spin,Prince Charming Regal Carrousel,Dumbo the Flying Elephant,it's a small world,Jungle Cruise,Liberty Square Riverboat,Mad Tea Party,Mickey's PhilharMagic,Peter Pan's Flight,Pirates of the Caribbean,Space Mountain,Splash Mountain,Haunted Mansion,The Magic Carpets of Aladdin,The Many Adventures of Winnie the Pooh,Tomorrowland Speedway,Tomorrowland Transit Authority PeopleMover,Walt Disney's Carousel of Progress,Country Bear Jamboree,The Hall of Presidents
2017-07-01 07:40:00 -0700,5,5,0,5,10,60,20,25,15,5,15,10,15,0,10,10,60,50,60,45,10,10,30,30,0,0,0,0
2017-07-01 07:50:00 -0700,5,10,0,10,10,60,20,30,40,5,10,10,25,0,5,15,35,20,80,65,15,15,25,30,0,0,0,0
2017-07-01 08:00:00 -0700,5,10,0,10,10,60,20,25,55,5,10,15,30,0,5,10,20,30,75,40,25,15,35,30,0,0,0,0
2017-07-01 08:10:00 -0700,5,20,0,10,10,60,20,40,55,5,10,15,35,0,10,10,50,30,70,45,30,15,25,30,0,0,0,0
2017-07-01 08:20:00 -0700,5,20,0,10,10,70,20,45,55,5,10,15,40,0,10,10,35,25,70,45,25,15,25,30,0,0,0,0
2017-07-01 08:30:00 -0700,5,20,0,10,5,70,20,55,50,5,10,15,45,0,15,15,70,25,60,40,25,15,25,30,0,0,0,0
2017-07-01 08:40:00 -0700,5,20,0,10,10,70,20,50,45,5,15,15,35,0,15,10,65,20,80,35,25,15,25,40,0,0,0,0
2017-07-01 08:50:00 -0700,5,30,0,10,10,70,30,30,35,5,15,20,35,0,10,15,65,30,75,45,30,20,25,40,0,0,0,0
2017-07-01 09:00:00 -0700,5,30,0,15,10,70,30,35,35,5,10,20,30,0,15,10,70,45,70,55,30,20,30,40,0,0,0,0
2017-07-01 09:10:00 -0700,5,30,0,10,10,70,20,35,35,5,15,20,25,0,15,15,65,45,70,55,35,20,25,40,0,0,0,0
2017-07-01 09:20:00 -0700,5,30,0,15,15,70,20,45,45,5,15,20,35,0,15,10,65,45,70,50,45,20,30,30,0,0,0,0
2017-07-01 09:30:00 -0700,5,30,0,15,15,80,20,45,45,5,15,20,45,0,15,10,65,35,85,50,45,25,30,30,0,0,0,0
2017-07-01 09:40:00 -0700,10,30,0,15,15,80,20,45,35,5,10,15,35,0,20,10,75,30,85,50,35,25,35,30,0,0,0,0
2017-07-01 09:50:00 -0700,10,30,0,15,10,80,20,55,35,5,10,20,35,0,20,10,65,35,85,0,30,20,35,30,0,0,0,0
2017-07-01 10:00:00 -0700,10,30,0,15,10,80,20,60,45,5,10,15,35,0,30,10,65,45,75,0,30,15,35,40,0,0,0,0
2017-07-01 10:10:00 -0700,10,30,0,10,10,80,20,60,35,5,10,20,45,0,20,10,60,45,60,0,30,15,30,40,0,0,0,0
2017-07-01 10:20:00 -0700,10,30,0,15,10,80,20,60,30,5,15,15,35,0,20,15,80,50,65,0,30,15,25,30,0,0,0,0
2017-07-01 10:30:00 -0700,10,30,0,15,10,90,20,60,45,5,15,20,35,0,15,15,95,35,65,0,30,15,25,20,0,0,0,0
2017-07-01 10:40:00 -0700,20,30,0,15,15,90,20,55,45,5,15,25,35,0,15,15,85,35,65,0,35,15,25,20,0,0,0,0
2017-07-01 10:50:00 -0700,20,10,0,10,10,90,30,55,30,5,20,20,45,0,15,20,60,45,65,0,50,15,25,20,0,0,0,0
2017-07-01 11:00:00 -0700,10,10,0,15,15,90,20,35,40,5,20,25,50,0,15,15,50,45,55,0,45,15,30,30,0,0,0,0
2017-07-01 11:10:00 -0700,10,10,0,15,15,100,20,40,45,5,25,30,40,0,15,15,65,50,65,0,45,15,30,30,0,0,0,0
2017-07-01 11:20:00 -0700,10,30,0,30,15,100,20,40,40,5,25,30,65,0,20,30,60,45,65,0,45,15,30,30,0,0,0,0
2017-07-01 11:30:00 -0700,10,10,0,0,20,100,20,40,30,5,25,30,55,0,15,15,60,45,95,0,45,20,30,30,0,0,0,0
2017-07-01 11:40:00 -0700,10,10,0,0,20,0,0,0,40,5,20,35,55,0,10,15,65,45,80,0,45,0,30,0,0,0,0,0
2017-07-01 11:50:00 -0700,10,10,0,0,25,0,0,0,35,5,0,35,0,0,10,15,65,50,65,0,45,0,45,0,0,0,0,0
2017-07-01 12:00:00 -0700,10,10,0,0,30,0,0,0,35,5,0,30,0,0,15,10,55,40,85,0,50,0,35,0,0,0,0,0
2017-07-01 12:10:00 -0700,10,10,0,0,25,0,0,0,45,5,0,30,0,0,15,20,70,50,85,0,45,0,30,0,0,0,0,0
2017-07-01 12:20:00 -0700,10,10,0,0,25,0,0,0,40,5,0,25,0,0,15,15,75,50,115,0,45,0,40,0,0,0,0,0
2017-07-01 12:30:00 -0700,20,10,0,0,25,0,0,0,50,5,0,25,0,0,15,15,90,55,140,0,40,0,45,0,0,0,0,0
2017-07-01 12:40:00 -0700,20,20,0,0,20,0,0,0,45,5,0,25,0,0,15,20,90,50,120,0,55,0,35,0,0,0,0,0
2017-07-01 12:50:00 -0700,30,20,0,0,15,0,0,0,45,5,0,25,0,0,15,25,110,50,115,0,55,0,0,0,0,0,0,0
2017-07-01 13:00:00 -0700,30,30,0,0,20,0,0,0,55,5,0,25,0,0,15,25,110,45,125,0,55,0,0,0,0,0,0,0
2017-07-01 13:10:00 -0700,30,30,0,0,20,0,0,0,55,5,0,30,0,0,25,20,110,40,120,0,55,0,15,0,0,0,0,0
2017-07-01 13:20:00 -0700,20,30,0,0,20,100,60,30,50,5,10,35,0,0,25,25,110,30,105,0,65,0,35,30,0,0,0,0
2017-07-01 13:30:00 -0700,20,30,0,0,25,20,60,30,50,5,10,25,0,0,20,30,110,30,110,0,65,20,30,30,0,0,0,0
2017-07-01 13:40:00 -0700,20,20,0,20,30,105,10,40,40,5,20,0,0,0,15,20,85,20,110,0,55,15,30,15,0,0,0,0
2017-07-01 13:50:00 -0700,10,20,0,25,25,105,20,45,40,5,20,35,25,0,15,20,80,25,110,0,55,20,30,50,0,0,0,0
2017-07-01 14:00:00 -0700,10,20,0,25,30,105,20,55,45,5,20,40,50,0,15,15,75,25,115,0,30,20,35,50,0,0,0,0
2017-07-01 14:10:00 -0700,10,20,0,25,20,105,20,60,35,5,20,30,50,0,20,10,80,25,110,0,30,20,35,40,0,0,0,0
2017-07-01 14:20:00 -0700,10,20,0,30,30,105,20,95,35,5,20,25,50,0,25,15,80,25,105,0,35,20,30,40,0,0,0,0
2017-07-01 14:30:00 -0700,10,20,0,35,35,105,20,95,25,5,20,25,0,0,25,15,85,30,160,0,35,20,30,50,0,0,0,0
2017-07-01 14:40:00 -0700,10,20,0,45,35,105,20,55,45,5,25,25,0,0,15,15,75,25,155,0,45,0,25,50,0,0,0,0
2017-07-01 14:50:00 -0700,20,20,0,45,35,0,20,50,45,5,20,20,0,0,15,15,80,30,155,30,45,20,25,50,0,0,0,0
2017-07-01 15:00:00 -0700,20,20,0,50,45,0,20,40,35,5,10,20,50,0,15,20,80,30,170,45,45,20,35,20,0,0,0,0
2017-07-01 15:10:00 -0700,0,20,0,50,35,0,20,20,35,5,10,20,50,0,20,15,80,30,170,50,45,15,35,10,0,0,0,0
2017-07-01 15:20:00 -0700,0,20,0,50,35,0,20,15,40,5,10,25,45,0,20,20,85,35,160,65,40,15,35,10,0,0,0,0
2017-07-01 15:30:00 -0700,0,20,0,50,35,0,20,20,45,5,10,25,40,0,10,15,95,30,145,75,45,10,35,20,0,0,0,0
2017-07-01 15:40:00 -0700,0,20,0,35,35,0,20,25,45,5,10,25,45,0,10,15,85,45,145,75,45,15,35,20,0,0,0,0
2017-07-01 15:50:00 -0700,0,20,0,35,30,90,20,45,40,5,10,25,40,0,10,15,75,50,135,80,35,10,35,30,0,0,0,0
2017-07-01 16:00:00 -0700,0,20,0,45,30,105,20,45,45,5,10,25,35,0,10,15,70,40,115,85,35,10,25,30,0,0,0,0
2017-07-01 16:10:00 -0700,0,20,0,45,30,30,20,50,45,5,10,20,25,0,10,15,70,40,115,95,40,15,25,30,0,0,0,0
2017-07-01 16:20:00 -0700,0,20,0,40,30,70,20,50,45,5,10,20,35,0,10,15,75,30,105,95,30,15,35,55,0,0,0,0
2017-07-01 16:30:00 -0700,0,20,0,40,25,120,20,45,55,5,20,20,25,0,10,15,70,30,115,90,30,15,35,50,0,0,0,0
2017-07-01 16:40:00 -0700,0,20,0,45,30,120,20,45,55,5,15,20,45,0,15,20,65,30,95,90,35,25,35,60,0,0,0,0
2017-07-01 16:50:00 -0700,0,20,0,40,30,120,20,45,55,5,15,20,40,0,10,10,80,30,80,90,35,20,35,60,0,0,0,0
2017-07-01 17:00:00 -0700,0,20,0,45,30,120,20,30,55,5,15,25,40,0,10,10,75,20,75,80,40,15,35,60,0,0,0,0
2017-07-01 17:10:00 -0700,0,10,0,40,35,120,20,35,50,5,15,15,40,0,10,10,70,20,70,80,40,15,30,60,0,0,0,0
2017-07-01 17:20:00 -0700,0,10,0,45,35,120,30,30,65,5,15,15,30,0,10,10,70,15,55,55,30,20,55,60,0,0,0,0
2017-07-01 17:30:00 -0700,0,10,0,40,35,90,30,30,55,5,20,15,35,0,10,10,70,10,60,35,25,15,40,70,0,0,0,0
2017-07-01 17:40:00 -0700,0,10,0,25,35,100,30,35,50,5,20,20,35,0,10,10,70,5,55,35,10,15,30,70,0,0,0,0
2017-07-01 17:50:00 -0700,0,10,0,25,10,100,30,20,50,5,20,15,25,0,10,10,25,5,65,20,10,5,15,60,0,0,0,0
2017-07-01 18:00:00 -0700,0,10,0,20,10,60,30,20,30,5,20,10,25,0,10,10,20,5,65,15,10,5,10,60,0,0,0,0
2017-07-01 18:10:00 -0700,0,0,0,5,10,60,30,20,30,5,20,10,15,0,10,20,25,5,65,15,10,5,5,60,0,0,0,0
2017-07-01 18:20:00 -0700,0,0,0,5,5,60,30,5,45,5,20,10,5,0,10,20,30,5,65,20,10,5,5,30,0,0,0,0
2017-07-01 18:30:00 -0700,0,0,0,5,5,60,30,5,55,5,20,10,10,0,10,20,50,10,75,25,15,5,10,30,0,0,0,0
2017-07-01 18:40:00 -0700,0,0,0,5,10,60,30,10,40,5,20,10,10,0,10,20,50,20,75,30,20,5,10,45,0,0,0,0
2017-07-01 18:50:00 -0700,0,0,0,5,5,50,30,15,40,5,20,10,5,0,10,20,35,20,75,25,15,5,10,45,0,0,0,0
2017-07-01 19:00:00 -0700,0,0,0,5,5,50,30,10,40,5,20,10,5,0,10,10,20,10,75,25,10,5,10,45,0,0,0,0
2017-07-01 19:10:00 -0700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-07-01 19:20:00 -0700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-07-01 19:30:00 -0700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-07-01 19:40:00 -0700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-07-01 19:50:00 -0700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-07-01 20:00:00 -0700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-07-01 20:10:00 -0700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-07-01 20:20:00 -0700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-07-01 20:30:00 -0700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-07-01 20:40:00 -0700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-07-01 20:50:00 -0700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-07-01 21:00:00 -0700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-07-01 21:10:00 -0700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-07-01 21:20:00 -0700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-07-01 21:30:00 -0700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-07-01 21:40:00 -0700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-07-01 21:50:00 -0700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-07-01 22:00:00 -0700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-07-01 22:10:00 -0700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-07-01 22:20:00 -0700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-07-01 22:30:00 -0700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-07-01 22:40:00 -0700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-07-01 22:50:00 -0700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-07-01 23:00:00 -0700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-07-01 23:10:00 -0700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-07-01 23:20:00 -0700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-07-01 23:30:00 -0700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-07-01 23:40:00 -0700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-07-01 23:50:00 -0700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-07-02 00:00:00 -0700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-07-02 00:10:00 -0700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-07-02 00:20:00 -0700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-07-02 00:30:00 -0700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-07-02 00:40:00 -0700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-07-02 00:50:00 -0700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-07-02 01:00:00 -0700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-07-02 01:10:00 -0700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-07-02 01:20:00 -0700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-07-02 01:30:00 -0700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-07-02 01:40:00 -0700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-07-02 01:50:00 -0700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-07-02 02:00:00 -0700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-07-02 02:10:00 -0700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-07-02 02:20:00 -0700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-07-02 02:30:00 -0700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-07-02 02:40:00 -0700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-07-02 02:50:00 -0700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-07-02 03:00:00 -0700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-07-02 03:10:00 -0700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-07-02 03:20:00 -0700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-07-02 03:30:00 -0700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-07-02 03:40:00 -0700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-07-02 03:50:00 -0700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-07-02 04:00:00 -0700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-07-02 04:10:00 -0700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-07-02 04:20:00 -0700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-07-02 04:30:00 -0700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-07-02 04:40:00 -0700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-07-02 04:50:00 -0700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-07-02 05:00:00 -0700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-07-02 05:10:00 -0700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-07-02 05:20:00 -0700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-07-02 05:30:00 -0700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-07-02 05:40:00 -0700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-07-02 05:50:00 -0700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-07-02 06:00:00 -0700,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
