 ,Stitch's Great Escape!,"Monsters, Inc. Laugh Floor",Walt Disney's Enchanted Tiki Room,The Barnstormer,Under the Sea - Journey of The Little Mermaid,Seven Dwarfs Mine Train ,Astro Orbiter,Big Thunder Mountain Railroad,Buzz Lightyear's Space Ranger Spin,Prince Charming Regal Carrousel,Dumbo the Flying Elephant,it's a small world,Jungle Cruise,Liberty Square Riverboat,Mad Tea Party,Mickey's PhilharMagic,Peter Pan's Flight,Pirates of the Caribbean,Space Mountain,Splash Mountain,Haunted Mansion,The Magic Carpets of Aladdin,The Many Adventures of Winnie the Pooh,Tomorrowland Speedway,Tomorrowland Transit Authority PeopleMover,Walt Disney's Carousel of Progress,Country Bear Jamboree,The Hall of Presidents
2017-05-17 21:40:00 +0000,0,20,0,25,15,80,20,40,40,0,15,20,60,0,10,10,65,45,70,70,40,15,40,20,10,5,0,0
2017-05-17 22:00:00 +0000,0,10,0,15,15,80,20,35,25,0,15,20,55,0,10,10,65,25,45,65,45,10,35,20,10,5,0,0
2017-05-17 22:10:00 +0000,0,10,0,15,15,90,20,35,25,0,15,10,55,0,10,10,65,30,70,70,45,15,35,30,10,5,0,0
2017-05-17 22:20:00 +0000,0,10,0,10,10,80,20,35,40,0,10,15,40,0,10,10,70,30,70,65,45,10,35,30,10,5,0,0
2017-05-17 22:40:00 +0000,0,10,0,10,15,80,20,45,30,0,10,15,35,0,30,10,70,30,85,65,45,20,30,30,10,5,0,0
2017-05-17 22:50:00 +0000,0,10,0,10,15,80,30,45,30,0,15,15,35,0,10,10,65,30,95,60,45,10,45,20,10,5,0,0
2017-05-17 23:00:00 +0000,0,10,0,10,15,80,30,35,30,0,10,15,40,0,10,10,65,25,95,45,30,15,30,20,10,5,0,0
2017-05-17 23:20:00 +0000,0,10,0,15,15,60,20,35,30,0,15,10,45,0,5,10,70,35,95,45,30,20,20,20,10,5,0,0
2017-05-17 23:30:00 +0000,0,10,0,15,15,60,20,35,30,0,10,10,50,0,5,5,60,35,95,40,25,20,25,20,10,5,0,0
2017-05-17 23:40:00 +0000,0,10,0,10,15,60,20,30,25,0,10,20,50,0,10,5,60,25,75,30,25,20,35,30,10,5,0,0
2017-05-18 00:00:00 +0000,0,10,0,15,15,50,20,30,30,0,15,15,80,0,10,5,65,25,75,35,25,15,30,40,10,5,0,0
