"Tomorrowland Transit Authority PeopleMover,Feb,03:00,weekday",0
"Walt Disney's Carousel of Progress,Feb,03:00,weekday",0
"Country Bear Jamboree,Feb,03:00,weekday",0
"The Hall of Presidents,Feb,03:00,weekday",0
"Monsters, Inc. Laugh Floor,03:30,Feb,weekday",0
"Walt Disney's Enchanted Tiki Room,03:30,Feb,weekday",0
"The Barnstormer,03:30,Feb,weekday",0
"Under the Sea - Journey of The Little Mermaid,03:30,Feb,weekday",0
"Seven Dwarfs Mine Train ,03:30,Feb,weekday",0
"Astro Orbiter,03:30,Feb,weekday",0
"Big Thunder Mountain Railroad,03:30,Feb,weekday",0
"Buzz Lightyear's Space Ranger Spin,03:30,Feb,weekday",0
"Prince Charming Regal Carrousel,03:30,Feb,weekday",0
"Dumbo the Flying Elephant,03:30,Feb,weekday",0
"03:30,Feb,it's a small world,weekday",0
"Jungle Cruise,03:30,Feb,weekday",0
"Liberty Square Riverboat,03:30,Feb,weekday",0
"Mad Tea Party,03:30,Feb,weekday",0
"03:30,Feb,Mickey's PhilharMagic,weekday",0
"Peter Pan's Flight,03:30,Feb,weekday",0
"Pirates of the Caribbean,03:30,Feb,weekday",0
"Space Mountain,03:30,Feb,weekday",0
"Splash Mountain,03:30,Feb,weekday",0
"Haunted Mansion,03:30,Feb,weekday",0
"The Magic Carpets of Aladdin,03:30,Feb,weekday",0
"The Many Adventures of Winnie the Pooh,03:30,Feb,weekday",0
"Tomorrowland Speedway,03:30,Feb,weekday",0
"Tomorrowland Transit Authority PeopleMover,03:30,Feb,weekday",0
"Walt Disney's Carousel of Progress,03:30,Feb,weekday",0
"Country Bear Jamboree,03:30,Feb,weekday",0
"03:30,Feb,The Hall of Presidents,weekday",0
"04:00,Monsters, Inc. Laugh Floor,Feb,weekday",0
"04:00,Feb,Walt Disney's Enchanted Tiki Room,weekday",0
"04:00,The Barnstormer,Feb,weekday",0
"04:00,Under the Sea - Journey of The Little Mermaid,Feb,weekday",0
"04:00,Seven Dwarfs Mine Train ,Feb,weekday",0
"04:00,Astro Orbiter,Feb,weekday",0
"04:00,Big Thunder Mountain Railroad,Feb,weekday",0
"04:00,Buzz Lightyear's Space Ranger Spin,Feb,weekday",0
"04:00,Prince Charming Regal Carrousel,Feb,weekday",0
"04:00,Dumbo the Flying Elephant,Feb,weekday",0
"04:00,Feb,it's a small world,weekday",0
"04:00,Jungle Cruise,Feb,weekday",0
"04:00,Liberty Square Riverboat,Feb,weekday",0
"04:00,Mad Tea Party,Feb,weekday",0
"04:00,Feb,Mickey's PhilharMagic,weekday",0
"04:00,Peter Pan's Flight,Feb,weekday",0
"04:00,Feb,Pirates of the Caribbean,weekday",0
"04:00,Space Mountain,Feb,weekday",0
"04:00,Splash Mountain,Feb,weekday",0
"04:00,Haunted Mansion,Feb,weekday",0
"04:00,The Magic Carpets of Aladdin,Feb,weekday",0
"04:00,The Many Adventures of Winnie the Pooh,Feb,weekday",0
"04:00,Tomorrowland Speedway,Feb,weekday",0
"04:00,Tomorrowland Transit Authority PeopleMover,Feb,weekday",0
"04:00,Walt Disney's Carousel of Progress,Feb,weekday",0
"04:00,Country Bear Jamboree,Feb,weekday",0
"04:00,The Hall of Presidents,Feb,weekday",0
"Monsters, Inc. Laugh Floor,04:30,Feb,weekday",0
"Walt Disney's Enchanted Tiki Room,04:30,Feb,weekday",0
"The Barnstormer,04:30,Feb,weekday",0
"Under the Sea - Journey of The Little Mermaid,04:30,Feb,weekday",0
"Seven Dwarfs Mine Train ,04:30,Feb,weekday",0
"04:30,Astro Orbiter,Feb,weekday",0
"04:30,Big Thunder Mountain Railroad,Feb,weekday",0
"04:30,Buzz Lightyear's Space Ranger Spin,Feb,weekday",0
"04:30,Prince Charming Regal Carrousel,Feb,weekday",0
"04:30,Dumbo the Flying Elephant,Feb,weekday",0
"04:30,Feb,it's a small world,weekday",0
"Jungle Cruise,04:30,Feb,weekday",0
"Liberty Square Riverboat,04:30,Feb,weekday",0
"04:30,Mad Tea Party,Feb,weekday",0
"04:30,Feb,Mickey's PhilharMagic,weekday",0
"Peter Pan's Flight,04:30,Feb,weekday",0
"Pirates of the Caribbean,04:30,Feb,weekday",0
"Space Mountain,04:30,Feb,weekday",0
"Splash Mountain,04:30,Feb,weekday",0
"Haunted Mansion,04:30,Feb,weekday",0
"04:30,The Magic Carpets of Aladdin,Feb,weekday",0
"04:30,The Many Adventures of Winnie the Pooh,Feb,weekday",0
"04:30,Tomorrowland Speedway,Feb,weekday",0
"04:30,Feb,Tomorrowland Transit Authority PeopleMover,weekday",0
"Walt Disney's Carousel of Progress,04:30,Feb,weekday",0
"04:30,Country Bear Jamboree,Feb,weekday",0
"04:30,The Hall of Presidents,Feb,weekday",0
"Monsters, Inc. Laugh Floor,05:00,Feb,weekday",0
"Walt Disney's Enchanted Tiki Room,05:00,Feb,weekday",0
"The Barnstormer,05:00,Feb,weekday",0.729166667
"Under the Sea - Journey of The Little Mermaid,05:00,Feb,weekday",1.041666667
"Seven Dwarfs Mine Train ,05:00,Feb,weekday",5.208333333
"Astro Orbiter,05:00,Feb,weekday",0.208333333
"Big Thunder Mountain Railroad,05:00,Feb,weekday",0.104166667
"Buzz Lightyear's Space Ranger Spin,05:00,Feb,weekday",0.625
"Prince Charming Regal Carrousel,05:00,Feb,weekday",0.416666667
"Dumbo the Flying Elephant,05:00,Feb,weekday",0.625
"05:00,Feb,it's a small world,weekday",1.25
"Jungle Cruise,05:00,Feb,weekday",0.104166667
"Liberty Square Riverboat,05:00,Feb,weekday",0
"Mad Tea Party,05:00,Feb,weekday",1.145833333
