Mad Tea Party,Tomorrowland Speedway,54
Mad Tea Party,Tomorrowland Transit Authority PeopleMover,165
Mad Tea Party,Under the Sea - Journey of The Little Mermaid,154
Mad Tea Party,Walt Disney's Carousel of Progress,191
Mad Tea Party,Walt Disney's Enchanted Tiki Room,354
Mad Tea Party,it's a small world,175
Mickey's PhilharMagic,"Monsters, Inc. Laugh Floor",212
Mickey's PhilharMagic,Peter Pan's Flight,48
Mickey's PhilharMagic,Pirates of the Caribbean,351
Mickey's PhilharMagic,Prince Charming Regal Carrousel,4
Mickey's PhilharMagic,Seven Dwarfs Mine Train,90
Mickey's PhilharMagic,Space Mountain,743
Mickey's PhilharMagic,Splash Mountain,345
Mickey's PhilharMagic,The Barnstormer,250
Mickey's PhilharMagic,The Hall of Presidents,120
Mickey's PhilharMagic,The Magic Carpets of Aladdin,270
Mickey's PhilharMagic,The Many Adventures of Winnie the Pooh,98
Mickey's PhilharMagic,Tomorrowland Speedway,193
Mickey's PhilharMagic,Tomorrowland Transit Authority PeopleMover,272
Mickey's PhilharMagic,Under the Sea - Journey of The Little Mermaid,197
Mickey's PhilharMagic,Walt Disney's Carousel of Progress,280
Mickey's PhilharMagic,Walt Disney's Enchanted Tiki Room,316
Mickey's PhilharMagic,it's a small world,59
"Monsters, Inc. Laugh Floor",Peter Pan's Flight,263
"Monsters, Inc. Laugh Floor",Pirates of the Caribbean,353
"Monsters, Inc. Laugh Floor",Prince Charming Regal Carrousel,211
"Monsters, Inc. Laugh Floor",Seven Dwarfs Mine Train,259
"Monsters, Inc. Laugh Floor",Space Mountain,680
"Monsters, Inc. Laugh Floor",Splash Mountain,420
"Monsters, Inc. Laugh Floor",The Barnstormer,280
"Monsters, Inc. Laugh Floor",The Hall of Presidents,212
"Monsters, Inc. Laugh Floor",The Magic Carpets of Aladdin,272
"Monsters, Inc. Laugh Floor",The Many Adventures of Winnie the Pooh,214
"Monsters, Inc. Laugh Floor",Tomorrowland Speedway,103
"Monsters, Inc. Laugh Floor",Tomorrowland Transit Authority PeopleMover,60
"Monsters, Inc. Laugh Floor",Under the Sea - Journey of The Little Mermaid,320
"Monsters, Inc. Laugh Floor",Walt Disney's Carousel of Progress,68
"Monsters, Inc. Laugh Floor",Walt Disney's Enchanted Tiki Room,318
"Monsters, Inc. Laugh Floor",it's a small world,274
Peter Pan's Flight,Pirates of the Caribbean,308
Peter Pan's Flight,Prince Charming Regal Carrousel,53
Peter Pan's Flight,Seven Dwarfs Mine Train,122
Peter Pan's Flight,Space Mountain,792
Peter Pan's Flight,Splash Mountain,296
Peter Pan's Flight,The Barnstormer,286
Peter Pan's Flight,The Hall of Presidents,103
Peter Pan's Flight,The Magic Carpets of Aladdin,247
Peter Pan's Flight,The Many Adventures of Winnie the Pooh,134
Peter Pan's Flight,Tomorrowland Speedway,236
Peter Pan's Flight,Tomorrowland Transit Authority PeopleMover,322
Peter Pan's Flight,Under the Sea - Journey of The Little Mermaid,225
Peter Pan's Flight,Walt Disney's Carousel of Progress,330
Peter Pan's Flight,Walt Disney's Enchanted Tiki Room,273
Peter Pan's Flight,it's a small world,7
Pirates of the Caribbean,Prince Charming Regal Carrousel,355
Pirates of the Caribbean,Seven Dwarfs Mine Train,419
Pirates of the Caribbean,Space Mountain,847
Pirates of the Caribbean,Splash Mountain,143
Pirates of the Caribbean,The Barnstormer,541
Pirates of the Caribbean,The Hall of Presidents,219
Pirates of the Caribbean,The Magic Carpets of Aladdin,69
Pirates of the Caribbean,The Many Adventures of Winnie the Pooh,427
Pirates of the Caribbean,Tomorrowland Speedway,438
Pirates of the Caribbean,Tomorrowland Transit Authority PeopleMover,418
Pirates of the Caribbean,Under the Sea - Journey of The Little Mermaid,539
Pirates of the Caribbean,Walt Disney's Carousel of Progress,427
Pirates of the Caribbean,Walt Disney's Enchanted Tiki Room,35
Pirates of the Caribbean,it's a small world,311
Prince Charming Regal Carrousel,Seven Dwarfs Mine Train,60
Prince Charming Regal Carrousel,Space Mountain,739
Prince Charming Regal Carrousel,Splash Mountain,341
Prince Charming Regal Carrousel,The Barnstormer,220
Prince Charming Regal Carrousel,The Hall of Presidents,116
Prince Charming Regal Carrousel,The Magic Carpets of Aladdin,266
Prince Charming Regal Carrousel,The Many Adventures of Winnie the Pooh,68
